date,site,parameter,index_value,description,health_advisory,health_effects
2017-09-22,Avalon,SO2,0,Good,,
2017-09-22,Harrison Township,OZONE,43,Good,,
2017-09-22,Flag Plaza,PM10,29,Good,,
2017-09-22,Liberty 2,PM25(2),62,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-09-22,Lawrenceville 2,CO,4,Good,,
2017-09-22,Lawrenceville,OZONE,43,Good,,
2017-09-22,Liberty 2,PM10,44,Good,,
2017-09-22,Lincoln,PM10,66,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-09-22,Lawrenceville,PM25B,50,Good,,
2017-09-22,Harrison Township,NO2,21,Good,,
2017-09-22,Parkway East,NO2,23,Good,,
2017-09-22,North Braddock,SO2,10,Good,,
2017-09-22,Flag Plaza,CO,0,Good,,
2017-09-22,Glassport High Street,PM10,34,Good,,
2017-09-22,Avalon,PM25T,54,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-09-22,Liberty,SO2,27,Good,,
2017-09-23,Flag Plaza,PM10,21,Good,,
2017-09-23,North Braddock,PM10B,30,Good,,
2017-09-23,South Fayette,SO2,6,Good,,
2017-09-23,Liberty 2,PM25(2),74,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-09-23,Avalon,PM25T,43,Good,,
2017-09-23,Liberty,SO2,47,Good,,
2017-09-23,Lincoln,PM10,62,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-09-23,Lawrenceville,PM25B,48,Good,,
2017-09-23,Parkway East,PM25T,44,Good,,
2017-09-23,Flag Plaza,CO,0,Good,,
2017-09-23,Harrison Township,OZONE,45,Good,,
2017-09-23,South Fayette,OZONE,67,Moderate,Unusually sensitive people should consider reducing prolonged or heavy outdoor exertion.,Unusually sensitive individuals may experience respiratory symptoms.
2017-09-23,Avalon,SO2,1,Good,,
2017-09-23,Harrison Township,NO2,13,Good,,
2017-09-23,Parkway East,NO2,31,Good,,
2017-09-23,North Braddock,SO2,4,Good,,
2017-09-23,Lincoln,PM25,97,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-09-23,Lawrenceville 2,SO2,21,Good,,
2017-09-23,Lawrenceville 2,CO,4,Good,,
2017-09-23,Lawrenceville,OZONE,46,Good,,
2017-09-23,Liberty 2,PM10,31,Good,,
2017-09-23,Parkway East,CO,11,Good,,
2017-09-23,Glassport High Street,PM10,33,Good,,
2017-09-24,Lawrenceville 2,CO,5,Good,,
2017-09-24,Liberty 2,PM10,38,Good,,
2017-09-24,Lincoln,PM10,64,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-09-24,Parkway East,CO,16,Good,,
2017-09-24,Harrison Township,OZONE,46,Good,,
2017-09-24,South Fayette,OZONE,71,Moderate,Unusually sensitive people should consider reducing prolonged or heavy outdoor exertion.,Unusually sensitive individuals may experience respiratory symptoms.
2017-09-24,Lawrenceville,PM25B,57,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-09-24,Avalon,SO2,4,Good,,
2017-09-24,Lawrenceville,OZONE,50,Good,,
2017-09-24,Liberty 2,PM25(2),69,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-09-24,Flag Plaza,PM10,20,Good,,
2017-09-24,North Braddock,PM10B,34,Good,,
2017-09-24,Parkway East,PM25T,53,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-09-24,Lawrenceville 2,SO2,8,Good,,
2017-09-24,South Fayette,SO2,7,Good,,
2017-09-24,Lincoln,PM25,104,Unhealthy for Sensitive Groups,"People with heart or lung disease, older adults, and children should reduce prolonged or heavy exertion.","Increasing likelihood of respiratory symptoms in sensitive individuals, aggravation of heart or lung disease and premature mortality in people with cardiopulmonary disease and older adults."
2017-09-24,Harrison Township,NO2,18,Good,,
2017-09-24,Parkway East,NO2,29,Good,,
2017-09-24,North Braddock,SO2,4,Good,,
2017-09-24,Flag Plaza,CO,0,Good,,
2017-09-24,Glassport High Street,PM10,39,Good,,
2017-09-24,Avalon,PM25T,54,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-09-24,Liberty,SO2,17,Good,,
2017-09-25,Flag Plaza,PM10,29,Good,,
2017-09-25,North Braddock,PM10B,29,Good,,
2017-09-25,Lawrenceville,OZONE,49,Good,,
2017-09-25,Liberty 2,PM25(2),74,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-09-25,South Fayette,SO2,7,Good,,
2017-09-25,Lawrenceville 2,CO,4,Good,,
2017-09-25,Liberty 2,PM10,31,Good,,
2017-09-25,Lincoln,PM25,113,Unhealthy for Sensitive Groups,"People with heart or lung disease, older adults, and children should reduce prolonged or heavy exertion.","Increasing likelihood of respiratory symptoms in sensitive individuals, aggravation of heart or lung disease and premature mortality in people with cardiopulmonary disease and older adults."
2017-09-25,Parkway East,CO,7,Good,,
2017-09-25,Parkway East,NO2,33,Good,,
2017-09-25,Glassport High Street,PM10,31,Good,,
2017-09-25,South Fayette,OZONE,50,Good,,
2017-09-25,Avalon,PM25T,56,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-09-25,Liberty,SO2,43,Good,,
2017-09-25,Lincoln,PM10,61,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-09-25,Lawrenceville 2,SO2,4,Good,,
2017-09-25,Flag Plaza,CO,0,Good,,
2017-09-25,Parkway East,PM25T,59,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-09-25,Avalon,SO2,0,Good,,
2017-09-25,Harrison Township,NO2,15,Good,,
2017-09-25,Harrison Township,OZONE,50,Good,,
2017-09-25,Lawrenceville,PM25B,55,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-09-25,North Braddock,SO2,6,Good,,
2017-09-26,Flag Plaza,PM10,33,Good,,
2017-09-26,North Braddock,PM10B,29,Good,,
2017-09-26,Lincoln,PM25,130,Unhealthy for Sensitive Groups,"People with heart or lung disease, older adults, and children should reduce prolonged or heavy exertion.","Increasing likelihood of respiratory symptoms in sensitive individuals, aggravation of heart or lung disease and premature mortality in people with cardiopulmonary disease and older adults."
2017-09-26,Liberty 2,PM25(2),81,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-09-26,Parkway East,CO,9,Good,,
2017-09-26,South Fayette,OZONE,100,Moderate,Unusually sensitive people should consider reducing prolonged or heavy outdoor exertion.,Unusually sensitive individuals may experience respiratory symptoms.
2017-09-26,Parkway East,PM25T,64,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-09-26,Lawrenceville 2,SO2,13,Good,,
2017-09-26,Harrison Township,OZONE,74,Moderate,Unusually sensitive people should consider reducing prolonged or heavy outdoor exertion.,Unusually sensitive individuals may experience respiratory symptoms.
2017-09-26,Lawrenceville,OZONE,48,Good,,
2017-09-26,South Fayette,SO2,7,Good,,
2017-09-26,Lincoln,PM10,71,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-09-26,Flag Plaza,CO,0,Good,,
2017-09-26,Lawrenceville,PM25B,58,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-09-26,Avalon,SO2,3,Good,,
2017-09-26,Glassport High Street,PM10,42,Good,,
2017-09-26,Avalon,PM25T,63,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-09-26,Liberty,SO2,41,Good,,
2017-09-26,Lawrenceville 2,CO,5,Good,,
2017-09-26,Harrison Township,NO2,21,Good,,
2017-09-26,Parkway East,NO2,30,Good,,
2017-09-26,Liberty 2,PM10,45,Good,,
2017-09-26,North Braddock,SO2,6,Good,,
2017-09-27,North Braddock,PM10B,41,Good,,
2017-09-27,Lincoln,PM25,101,Unhealthy for Sensitive Groups,"People with heart or lung disease, older adults, and children should reduce prolonged or heavy exertion.","Increasing likelihood of respiratory symptoms in sensitive individuals, aggravation of heart or lung disease and premature mortality in people with cardiopulmonary disease and older adults."
2017-09-27,Liberty 2,PM25(2),92,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-09-27,Lawrenceville,PM25B,48,Good,,
2017-09-27,South Fayette,SO2,6,Good,,
2017-09-27,Flag Plaza,CO,0,Good,,
2017-09-27,Harrison Township,OZONE,84,Moderate,Unusually sensitive people should consider reducing prolonged or heavy outdoor exertion.,Unusually sensitive individuals may experience respiratory symptoms.
2017-09-27,South Fayette,OZONE,104,Unhealthy for Sensitive Groups,"Active children and adults, and people with respiratory disease, such as asthma, should reduce prolonged or heavy outdoor exertion.","Increasing likelihood of respiratory symptoms and breathing discomfort in active children and adults and people with respiratory disease, such as asthma."
2017-09-27,Flag Plaza,PM10,34,Good,,
2017-09-27,Parkway East,PM25T,75,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-09-27,Avalon,SO2,1,Good,,
2017-09-27,Lawrenceville 2,SO2,4,Good,,
2017-09-27,Harrison Township,NO2,15,Good,,
2017-09-27,North Braddock,SO2,16,Good,,
2017-09-27,Glassport High Street,PM10,53,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-09-27,Avalon,PM25T,61,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-09-27,Liberty,SO2,37,Good,,
2017-09-27,Liberty 2,PM10,50,Good,,
2017-09-27,Lincoln,PM10,72,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-09-27,Parkway East,CO,21,Good,,
2017-09-27,Lawrenceville 2,CO,5,Good,,
2017-09-27,Parkway East,NO2,28,Good,,
2017-09-27,Lawrenceville,OZONE,97,Moderate,Unusually sensitive people should consider reducing prolonged or heavy outdoor exertion.,Unusually sensitive individuals may experience respiratory symptoms.
2017-09-28,Lincoln,PM10,50,Good,,
2017-09-28,Flag Plaza,CO,0,Good,,
2017-09-28,Harrison Township,OZONE,38,Good,,
2017-09-28,South Fayette,OZONE,44,Good,,
2017-09-28,Avalon,PM25T,17,Good,,
2017-09-28,Avalon,SO2,0,Good,,
2017-09-28,Lincoln,PM25,9,Good,,
2017-09-28,Liberty 2,PM25(2),8,Good,,
2017-09-28,North Braddock,PM10B,39,Good,,
2017-09-28,Lawrenceville,PM25B,2,Good,,
2017-09-28,South Fayette,SO2,3,Good,,
2017-09-28,Parkway East,CO,7,Good,,
2017-09-28,Flag Plaza,PM10,32,Good,,
2017-09-28,Lawrenceville 2,SO2,0,Good,,
2017-09-28,Lawrenceville,OZONE,40,Good,,
2017-09-28,Glassport High Street,PM10,47,Good,,
2017-09-28,Parkway East,PM25T,14,Good,,
2017-09-28,Liberty,SO2,3,Good,,
2017-09-28,Lawrenceville 2,CO,2,Good,,
2017-09-28,Harrison Township,NO2,6,Good,,
2017-09-28,Parkway East,NO2,14,Good,,
2017-09-28,Liberty 2,PM10,44,Good,,
2017-09-28,North Braddock,SO2,0,Good,,
2017-09-29,North Braddock,PM10B,24,Good,,
2017-09-29,Lawrenceville,PM25B,24,Good,,
2017-09-29,Parkway East,CO,10,Good,,
2017-09-29,Avalon,PM25T,27,Good,,
2017-09-29,Lawrenceville 2,CO,3,Good,,
2017-09-29,Parkway East,NO2,21,Good,,
2017-09-29,Liberty 2,PM10,24,Good,,
2017-09-29,Lincoln,PM10,25,Good,,
2017-09-29,Lawrenceville,OZONE,37,Good,,
2017-09-29,Glassport High Street,PM10,15,Good,,
2017-09-29,Parkway East,PM25T,38,Good,,
2017-09-29,South Fayette,OZONE,42,Good,,
2017-09-29,Liberty,SO2,29,Good,,
2017-09-29,Flag Plaza,CO,0,Good,,
2017-09-29,Harrison Township,OZONE,36,Good,,
2017-09-29,Flag Plaza,PM10,15,Good,,
2017-09-29,Lincoln,PM25,50,Good,,
2017-09-29,Avalon,SO2,3,Good,,
2017-09-29,Lawrenceville 2,SO2,3,Good,,
2017-09-29,North Braddock,SO2,4,Good,,
2017-09-29,Harrison Township,NO2,17,Good,,
2017-09-29,Liberty 2,PM25(2),42,Good,,
2017-09-29,South Fayette,SO2,3,Good,,
2017-09-30,Parkway East,CO,7,Good,,
2017-09-30,Glassport High Street,PM10,15,Good,,
2017-09-30,Parkway East,NO2,9,Good,,
2017-09-30,Flag Plaza,PM10,14,Good,,
2017-09-30,Lincoln,PM10,24,Good,,
2017-09-30,Liberty 2,PM25(2),14,Good,,
2017-09-30,Lawrenceville 2,SO2,0,Good,,
2017-09-30,South Fayette,SO2,1,Good,,
2017-09-30,North Braddock,PM10B,23,Good,,
2017-09-30,Lawrenceville,PM25B,18,Good,,
2017-09-30,Flag Plaza,CO,0,Good,,
2017-09-30,South Fayette,OZONE,32,Good,,
2017-09-30,Avalon,SO2,0,Good,,
2017-09-30,Liberty,SO2,0,Good,,
2017-09-30,Harrison Township,NO2,6,Good,,
2017-09-30,Harrison Township,OZONE,28,Good,,
2017-09-30,Lincoln,PM25,18,Good,,
2017-09-30,Avalon,PM25T,25,Good,,
2017-09-30,North Braddock,SO2,0,Good,,
2017-09-30,Lawrenceville 2,CO,3,Good,,
2017-09-30,Lawrenceville,OZONE,29,Good,,
2017-09-30,Liberty 2,PM10,23,Good,,
2017-09-30,Parkway East,PM25T,18,Good,,
2017-10-01,North Braddock,PM10B,11,Good,,
2017-10-01,Lawrenceville,PM25B,25,Good,,
2017-10-01,Flag Plaza,CO,0,Good,,
2017-10-01,Harrison Township,NO2,7,Good,,
2017-10-01,Lincoln,PM25,40,Good,,
2017-10-01,North Braddock,SO2,0,Good,,
2017-10-01,Flag Plaza,PM10,9,Good,,
2017-10-01,Liberty 2,PM25(2),18,Good,,
2017-10-01,Lawrenceville 2,SO2,0,Good,,
2017-10-01,South Fayette,SO2,3,Good,,
2017-10-01,Lawrenceville 2,CO,4,Good,,
2017-10-01,Lawrenceville,OZONE,38,Good,,
2017-10-01,Liberty 2,PM10,6,Good,,
2017-10-01,Parkway East,PM25T,27,Good,,
2017-10-01,Parkway East,CO,7,Good,,
2017-10-01,Harrison Township,OZONE,36,Good,,
2017-10-01,South Fayette,OZONE,41,Good,,
2017-10-01,Glassport High Street,PM10,6,Good,,
2017-10-01,Avalon,SO2,1,Good,,
2017-10-01,Liberty,SO2,0,Good,,
2017-10-01,Parkway East,NO2,13,Good,,
2017-10-01,Avalon,PM25T,28,Good,,
2017-10-01,Lincoln,PM10,16,Good,,
2017-10-02,Flag Plaza,CO,0,Good,,
2017-10-02,Harrison Township,OZONE,39,Good,,
2017-10-02,South Fayette,OZONE,48,Good,,
2017-10-02,Parkway East,PM25T,29,Good,,
2017-10-02,Avalon,SO2,1,Good,,
2017-10-02,Liberty,SO2,9,Good,,
2017-10-02,Harrison Township,NO2,16,Good,,
2017-10-02,North Braddock,SO2,11,Good,,
2017-10-02,North Braddock,PM10B,26,Good,,
2017-10-02,Liberty 2,PM25(2),26,Good,,
2017-10-02,Lawrenceville,PM25B,27,Good,,
2017-10-02,Lawrenceville 2,SO2,4,Good,,
2017-10-02,South Fayette,SO2,9,Good,,
2017-10-02,Parkway East,CO,8,Good,,
2017-10-02,Lawrenceville,OZONE,38,Good,,
2017-10-02,Glassport High Street,PM10,14,Good,,
2017-10-02,Parkway East,NO2,20,Good,,
2017-10-02,Lincoln,PM10,58,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-10-02,Flag Plaza,PM10,19,Good,,
2017-10-02,Lincoln,PM25,89,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-10-02,Avalon,PM25T,40,Good,,
2017-10-02,Lawrenceville 2,CO,5,Good,,
2017-10-02,Liberty 2,PM10,9,Good,,
2017-10-03,Lincoln,PM25,113,Unhealthy for Sensitive Groups,"People with heart or lung disease, older adults, and children should reduce prolonged or heavy exertion.","Increasing likelihood of respiratory symptoms in sensitive individuals, aggravation of heart or lung disease and premature mortality in people with cardiopulmonary disease and older adults."
2017-10-03,Flag Plaza,CO,0,Good,,
2017-10-03,North Braddock,SO2,3,Good,,
2017-10-03,Parkway East,NO2,28,Good,,
2017-10-03,Liberty,SO2,66,Moderate,,
2017-10-03,Lawrenceville,PM25B,30,Good,,
2017-10-03,Avalon,PM25T,47,Good,,
2017-10-03,Parkway East,CO,7,Good,,
2017-10-03,Harrison Township,OZONE,49,Good,,
2017-10-03,Lawrenceville,OZONE,48,Good,,
2017-10-03,South Fayette,OZONE,71,Moderate,Unusually sensitive people should consider reducing prolonged or heavy outdoor exertion.,Unusually sensitive individuals may experience respiratory symptoms.
2017-10-03,Glassport High Street,PM10,30,Good,,
2017-10-03,Parkway East,PM25T,35,Good,,
2017-10-03,Avalon,SO2,3,Good,,
2017-10-03,Lawrenceville 2,CO,4,Good,,
2017-10-03,Liberty 2,PM10,31,Good,,
2017-10-03,Lincoln,PM10,69,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-10-03,Harrison Township,NO2,21,Good,,
2017-10-03,Liberty 2,PM25(2),69,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-10-03,South Fayette,SO2,6,Good,,
2017-10-03,Flag Plaza,PM10,28,Good,,
2017-10-03,North Braddock,PM10B,29,Good,,
2017-10-03,Lawrenceville 2,SO2,5,Good,,
2017-10-04,Lawrenceville 2,CO,7,Good,,
2017-10-04,Parkway East,NO2,25,Good,,
2017-10-04,Lawrenceville,OZONE,67,Moderate,Unusually sensitive people should consider reducing prolonged or heavy outdoor exertion.,Unusually sensitive individuals may experience respiratory symptoms.
2017-10-04,Liberty 2,PM10,54,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-10-04,Harrison Township,OZONE,49,Good,,
2017-10-04,South Fayette,OZONE,49,Good,,
2017-10-04,Glassport High Street,PM10,42,Good,,
2017-10-04,Flag Plaza,CO,0,Good,,
2017-10-04,Parkway East,PM25T,53,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-10-04,Lawrenceville 2,SO2,2,Good,,
2017-10-04,North Braddock,PM10B,28,Good,,
2017-10-04,Lawrenceville,PM25B,33,Good,,
2017-10-04,Harrison Township,NO2,17,Good,,
2017-10-04,Liberty,SO2,46,Good,,
2017-10-04,North Braddock,SO2,9,Good,,
2017-10-04,South Fayette,SO2,1,Good,,
2017-10-04,Flag Plaza,PM10,31,Good,,
2017-10-04,Lincoln,PM10,71,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-10-04,Lincoln,PM25,89,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-10-04,Liberty 2,PM25(2),91,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-10-04,Avalon,PM25T,44,Good,,
2017-10-04,Parkway East,CO,12,Good,,
2017-10-04,Avalon,SO2,4,Good,,
2017-10-05,Flag Plaza,CO,0,Good,,
2017-10-05,Parkway East,PM25T,53,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-10-05,Lawrenceville 2,SO2,3,Good,,
2017-10-05,Harrison Township,NO2,12,Good,,
2017-10-05,Parkway East,NO2,21,Good,,
2017-10-05,North Braddock,SO2,11,Good,,
2017-10-05,Glassport High Street,PM10,31,Good,,
2017-10-05,Lincoln,PM25,51,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-10-05,South Fayette,SO2,4,Good,,
2017-10-05,North Braddock,PM10B,35,Good,,
2017-10-05,Liberty 2,PM25(2),61,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-10-05,Lawrenceville 2,CO,3,Good,,
2017-10-05,Lawrenceville,OZONE,31,Good,,
2017-10-05,Liberty 2,PM10,51,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-10-05,Parkway East,CO,5,Good,,
2017-10-05,Harrison Township,OZONE,25,Good,,
2017-10-05,South Fayette,OZONE,38,Good,,
2017-10-05,Flag Plaza,PM10,30,Good,,
2017-10-05,Avalon,SO2,0,Good,,
2017-10-05,Lincoln,PM10,52,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-10-05,Liberty,SO2,44,Good,,
2017-10-05,Lawrenceville,PM25B,48,Good,,
2017-10-05,Avalon,PM25T,42,Good,,
2017-10-06,Harrison Township,NO2,15,Good,,
2017-10-06,North Braddock,SO2,0,Good,,
2017-10-06,North Braddock,PM10B,31,Good,,
2017-10-06,Lincoln,PM25,54,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-10-06,Avalon,PM25T,55,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-10-06,Liberty,SO2,14,Good,,
2017-10-06,South Fayette,SO2,3,Good,,
2017-10-06,Flag Plaza,CO,0,Good,,
2017-10-06,Parkway East,PM25T,59,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-10-06,Lawrenceville 2,SO2,2,Good,,
2017-10-06,Lawrenceville 2,CO,5,Good,,
2017-10-06,Parkway East,NO2,13,Good,,
2017-10-06,Liberty 2,PM10,24,Good,,
2017-10-06,Lincoln,PM10,20,Good,,
2017-10-06,Lawrenceville,OZONE,30,Good,,
2017-10-06,Glassport High Street,PM10,16,Good,,
2017-10-06,Liberty 2,PM25(2),56,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-10-06,Parkway East,CO,4,Good,,
2017-10-06,Harrison Township,OZONE,30,Good,,
2017-10-06,South Fayette,OZONE,36,Good,,
2017-10-06,Flag Plaza,PM10,20,Good,,
2017-10-06,Lawrenceville,PM25B,66,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2017-10-06,Avalon,SO2,0,Good,,
2017-10-07,Flag Plaza,CO,0,Good,,
2017-10-07,Lawrenceville 2,SO2,3,Good,,
2017-10-07,Harrison Township,NO2,16,Good,,
2017-10-07,Parkway East,NO2,16,Good,,
2017-10-07,North Braddock,SO2,19,Good,,
2017-10-07,Lawrenceville,PM25B,50,Good,,
2017-10-07,Parkway East,PM25T,44,Good,,
2017-10-07,Liberty,SO2,23,Good,,
2017-10-07,Parkway East,CO,4,Good,,
2017-10-07,Harrison Township,OZONE,41,Good,,
2017-10-07,South Fayette,OZONE,43,Good,,
2017-10-07,Flag Plaza,PM10,23,Good,,
2017-10-07,Avalon,PM25T,50,Good,,
2017-10-07,Avalon,SO2,0,Good,,
2017-10-07,Lawrenceville 2,CO,5,Good,,
2017-10-07,Liberty 2,PM10,21,Good,,
2017-10-07,Lincoln,PM10,35,Good,,
2017-10-07,South Fayette,SO2,1,Good,,
2017-10-07,Lawrenceville,OZONE,40,Good,,
2017-10-07,Glassport High Street,PM10,26,Good,,
2017-10-07,North Braddock,PM10B,29,Good,,
