PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
292474553,22159492,10,2022-10-01T21:52:00,"600 Block Rectenwald St Pittsburgh, PA 15210",Y,Mount Oliver,3,SIMPLE ASSAULT,5104 Resisting Arrest or Other Law Enforcement. / 2701 Simple Assault.,1607,,,,
292479514,22159559,21,2022-10-02T02:46:00,"5200 Block Butler St Pittsburgh, PA 15201",Y,Upper Lawrenceville,2,DRIVING UNDER INFLUENCE,3731 Driving Under Influence of Alcohol or Controlled Substance / 1501 Drivers Required to be Licensed. / 601.19 Social Host and Underage Drinking,1011,7,2,-79.9542278574022,40.4804110459389
294130326,22170384,14,2022-10-21T14:35:00,"100 Block S 18th St Pittsburgh, PA 15203",N,South Side Flats,3,CRIM MISCHIEF,3304 Criminal Mischief.,1702,3,3,-79.9808361201944,40.4281392487418
294136529,22170403,0,2022-10-21T15:49:00,"2400 Block Centre Ave Pittsburgh, PA 15219",N,Middle Hill,2,99,9093 Indirect Criminal Contempt,501,6,3,-79.9718611598379,40.445531566043
294140478,22170508,27,2022-10-21T18:32:00,"Saw Mill Run Blvd & Crane Ave Pittsburgh, PA 15226",N,Mount Washington,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1914,4,5,-80.0145843460984,40.4170990738553
294140555,22170530,10,2022-10-21T18:32:00,"Liberty Ave & 7th Ave Pittsburgh, PA 15222",Y,Central Business District,2,TERRORISTIC THREATS,"2706 Terroristic Threats. / 5505 Public Drunkenness / 5126 Flight to Avoid Apprehension, Trial or Punishment. / 9501 Bench Warrant",201,6,6,-79.9974877489295,40.4430659535175
294146277,22170599,17,2022-10-21T21:00:00,Zone 1,Y,,1,SEXUAL ABUSE OF CHILDREN,6312 Sexual Abuse of Children.,,,,,
294147345,22170569,10,2022-10-21T20:17:00,"1400 Block Grandview Ave Pittsburgh, PA 15219",Y,Duquesne Heights,3,TERRORISTIC THREATS,2706 Terroristic Threats. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,1911,,,,
294147386,22158026,10,2022-09-27T18:30:00,"4000 Block Allequippa St Pittsburgh, PA 15219",Y,Terrace Village,2,HARRASSMENT,2709 Harassment (Non-Specific) / 6301 Corruption of Minors. / 902 Criminal Solicitation.,510,,,,
294148179,19173866,4,2022-10-21T22:58:00,"300 Block Ladson St Pittsburgh, PA 15206",Y,Larimer,3,AGG-ASSAULT,2702 Aggravated Assault. / 907 Possessing Instruments of Crime.,1603,,,,
291716351,22154017,6,2022-09-22T11:09:00,"600 Block East Ohio St Pittsburgh, PA 15212",N,East Allegheny,1,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,2304,1,1,-79.9989780720766,40.4539777944947
292175375,22157454,6,2022-09-28T10:55:00,"22nd St & Josephine St Pittsburgh, PA 15203",N,Bluff,3,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,103,3,3,-79.9749896083313,40.4248406179458
292185912,22157501,10,2022-09-28T11:45:00,"800 Block E Warrington Ave Pittsburgh, PA 15210",N,Allentown,3,HARRASSMENT,2709(a) Harassment.,1803,3,5,-79.9937050598573,40.4218022561637
292210764,22157565,26,2022-09-27T17:55:00,"300 Block Mt Pleasant Rd Pittsburgh, PA 15214",Y,Northview Heights,1,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a)(4) Harassment Communicates Prohibited Acts,2609,,,,
292211219,22157648,0,2022-09-28T17:32:00,"Middletown Rd & Chartiers Ave Pittsburgh, PA 15204",Y,Chartiers City,6,99,8106 Shots Fired,2021,2,5,-80.0732081912816,40.4576404889011
292255337,22157993,5,2022-09-29T08:40:00,"2500 Block N Charles St Pittsburgh, PA 15214",N,Perry South,1,BURGLARY,3502 Burglary.,2615,6,1,-80.0188204309074,40.4668936831574
292260014,22157981,14,2022-09-28T11:25:00,"800 Block Collins Ave Pittsburgh, PA 15206",Y,Highland Park,5,CRIM MISCHIEF,3304 Criminal Mischief. / 3503(a) Criminal Trespass,1106,,,,
294052506,22169737,14,2022-10-20T12:07:00,"100 Block Virginia Ave Pittsburgh, PA 15211",N,Mount Washington,3,CRIM MISCHIEF,3304 Criminal Mischief.,1914,2,5,-80.0073760146438,40.4294831107355
-3633024256,22169744,27,2022-10-20T07:00:00,"Jillson Ave & Plainview Ave Pittsburgh, PA 15226",N,Brookline,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1919,4,5,-80.0260845326365,40.3959649952254
-3522031271,22169733,26,2022-10-20T08:10:00,"600 Block Dunster St Pittsburgh, PA 15226",N,Brookline,6,LURING CHILD INTO MOTOR VEHICLE,2910 Luring a Child into a Motor Vehicle.,1917,4,5,-80.0142868667122,40.402128930939
294062471,22167240,27,2022-10-15T18:13:00,"E Warrington Ave & Beltzhoover Ave Pittsburgh, PA 15210",N,Allentown,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1803,3,5,-79.9974033933116,40.4216558346472
294075827,22169905,11,2022-10-20T14:00:00,"400 Block Wood St Pittsburgh, PA 15222",N,Central Business District,2,CREDIT CARDS,4106 Access Device Fraud,201,6,6,-80.0010801398374,40.4394331511613
294095757,22170039,27,2022-10-20T23:05:00,"Ross St & 1st Ave Pittsburgh, PA 15219",N,Central Business District,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,201,6,6,-79.9974660073538,40.4360760326209
294096670,22170058,0,2022-10-21T00:15:00,"S Evaline St & Friendship Ave Pittsburgh, PA 15224",Y,Bloomfield,5,DUI - GENERAL IMPAIRMENT,3802(a)(1) DUI - General Impairment,806,7,2,-79.9415992724333,40.462212453764
291763935,22154434,0,2022-09-23T00:23:00,"300 Block Rochelle Ter Pittsburgh, PA 15210",N,Knoxville,3,99,9999 9999 - (Misc. Incident): ,3001,3,5,-79.9930542137054,40.4150386498622
291765336,22154449,10,2022-09-23T01:22:00,"200 Block Elmore St Pittsburgh, PA 15219",N,Central Business District,2,HARRASSMENT,2709(a) Harassment.,201,6,3,-79.9754116022702,40.4418354617292
291765973,22154471,5,2022-09-22T23:00:00,"1300 Block Woodland Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,BURGLARY,3502 Burglary.,2715,1,1,-80.0302691717884,40.4692307933162
291847245,22155297,27,2022-09-24T11:10:00,"2500 Block 5th Ave Pittsburgh, PA 15213",N,South Oakland,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 1785 Proof of Financial Responsibility Following Accident. / 3714 Careless Driving,409,,,,
291850020,22155378,6,2022-09-24T15:01:00,"2000 Block Wharton St Pittsburgh, PA 15203",N,South Side Flats,3,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake. / 3922 Theft by Deception.",1702,3,3,-79.976432641371,40.4303408118696
291851746,22155431,6,2022-09-24T18:50:00,"7100 Block Race St Pittsburgh, PA 15208",N,Homewood North,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1302,9,2,-79.8979386679952,40.4593342175381
291865438,22155675,6,2022-09-25T06:00:00,"30 Block Natchez St Pittsburgh, PA 15211",N,Mount Washington,3,THEFT,3934 Theft from Vehicle / 3921 Theft by Unlawful Taking or Disposition.,1914,2,5,-80.011818151208,40.4288112671773
291871911,22155721,14,2022-09-25T09:50:00,"2800 Block Brownsville Rd Pittsburgh, PA 15227",N,Carrick,3,CRIM MISCHIEF,3304 Criminal Mischief. / 5503 Disorderly Conduct. / 9498 302 (Mental),2904,4,3,-79.9775325525589,40.3834499866783
291887228,22155969,99,2022-09-25T14:00:00,"100 Block Art Rooney Ave Pittsburgh, PA 15212",N,North Shore,1,LOST PROPERTY,9504 Lost Property,2205,1,6,-80.0157793215862,40.4467840308319
293143968,22164585,0,2022-10-10T23:50:00,"Webster Ave & Duff St Pittsburgh, PA 15219",N,Middle Hill,2,99,607.03 Discharging Firearm or Airgun / 8106 Shots Fired,501,6,3,-79.9733620034547,40.449272864969
293150030,22164633,18,2022-10-11T02:18:00,"5th Ave & Stevenson St Pittsburgh, PA 15219",N,Bluff,2,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession,103,6,3,-79.9864656933491,40.4386152271779
293198134,22164804,27,2022-10-11T11:00:00,"900 Block Freeport Rd Pittsburgh, PA 15212",N,East Liberty,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1113,9,2,-79.8923529450752,40.4861185015656
293228875,22165052,99,2022-10-11T19:10:00,"2200 Block Brownsville Rd Pittsburgh, PA 15210",Y,Carrick,3,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,2902,4,3,-79.9869130439349,40.3911850619477
293230761,22165010,27,2022-10-11T18:18:00,"Brownsville Rd & Hazeldell St Pittsburgh, PA 15210",Y,Carrick,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 1786 Required Financial Responsibility. / 3744 Duty to Give Information and Render Aid / 1785 Proof of Financial Responsibility Following Accident.,2902,4,3,-79.9863139434607,40.3907813517632
293230838,22165045,10,2022-10-11T19:00:00,"70 Block S 19th St Pittsburgh, PA 15203",N,South Side Flats,3,HARRASSMENT,2709(a)(3) Harassment No Legitimate Purpose,1702,3,3,-79.9792589856462,40.4293872106623
292881402,22160911,99,2022-10-04T12:46:00,"S 22nd St & Merriman Way Pittsburgh, PA 15203",N,South Side Flats,3,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,1609,3,3,-79.9744148782535,40.4306823019987
-3389380090,22162035,27,2022-10-04T11:30:00,"4200 Block Murray Ave Pittsburgh, PA 15217",N,Greenfield,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1517,5,3,-79.9286739194019,40.423189692055
292905182,22162248,10,2022-10-06T18:50:00,"E Warrington Ave & Arlington Ave Pittsburgh, PA 15210",Y,Allentown,3,HARRASSMENT,2709(a) Harassment.,1803,3,5,-79.992328438651,40.4218162331279
292491054,22159670,27,2022-10-02T05:31:00,"1600 Block W Carson St Pittsburgh, PA 15219",N,South Shore,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1921,2,5,-80.0213528738134,40.4421395488467
292503160,22159864,99,2022-10-02T15:24:00,"2300 Block East Hills Dr Pittsburgh, PA 15221",N,East Hills,5,MENTAL 201/302,9498 302 (Mental),1306,9,2,-79.871328586779,40.4566162367709
292503303,22159901,10,2022-10-02T16:16:00,"2700 Block Brownsville Rd Pittsburgh, PA 15227",Y,Carrick,3,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",2904,4,3,-79.9780810989249,40.3843384056868
292505282,22159956,0,2022-10-02T18:03:00,"W Carson St & West End Brg Pittsburgh, PA 15226",N,Elliott,6,99,9999 9999 - (Misc. Incident): ,2020,,,,
292603795,22160351,0,2022-10-03T13:00:00,"1700 Block Belleau Dr Pittsburgh, PA 15212",Y,Fineview,1,99,9999 9999 - (Misc. Incident): ,2509,6,1,-80.0069833937371,40.460310552493
292613074,22160515,5,2022-10-03T13:45:00,"3700 Block Chartiers Ave Pittsburgh, PA 15204",N,Chartiers City,6,BURGLARY,3502 Burglary.,2021,2,5,-80.0727584904733,40.4577482414309
-3633023709,22160601,99,2022-10-03T20:52:00,"300 Block Cape May Ave Pittsburgh, PA 15216",N,Beechview,6,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1920,4,5,-80.0208110957922,40.4099439956395
292656519,22160816,99,2022-10-04T08:30:00,"500 Block 1st Ave Pittsburgh, PA 15219",N,Central Business District,2,FOUND PROPERTY,9489 Found Property,201,6,6,-79.9976023406639,40.4358722846132
-3530181942,22170464,14,2022-10-21T17:31:00,"200 Block Fernleaf St Pittsburgh, PA 15210",N,Arlington,3,CRIM MISCHIEF,3304 Criminal Mischief. / 8106 Shots Fired,1603,3,3,-79.9761554042943,40.4163732277481
294175878,22170850,6,2022-10-22T08:15:00,"1200 Block Creedmoor Ave Pittsburgh, PA 15226",N,Brookline,6,THEFT FROM AUTO,3934 Theft from Vehicle,1918,4,5,-80.0140604558459,40.390228162275
294175990,22170838,6,2022-10-22T04:00:00,"1600 Block Eben St Pittsburgh, PA 15226",N,Brookline,6,THEFT FROM AUTO,3934 Theft from Vehicle,1918,,,,
294189500,22170980,10,2022-10-22T15:47:00,"800 Block E Warrington Ave Pittsburgh, PA 15210",Y,Allentown,3,SIMPLE ASSAULT,2701(a)(3) Simple Assault - Attempts by Physical Menace ,1803,3,5,-79.9937050598573,40.4218022561637
294191434,22170940,10,2022-10-22T14:05:00,"100 Block E Agnew Ave Pittsburgh, PA 15210",N,Carrick,3,TERRORISTIC THREATS,2706 Terroristic Threats.,2902,4,3,-79.986020737965,40.3952217896607
294193191,22123195,99,2022-10-22T19:15:00,"Market St & Market Sq Pittsburgh, PA 15222",Y,Central Business District,2,ARREST ON ATTACHMENT ORDER,9015 Failure To Appear/Arrest on Attachment Order,201,6,6,-80.0023983651274,40.4409500550323
294194466,22171103,6,2022-10-22T19:34:00,"1900 Block Creedmoor Pl Pittsburgh, PA 15226",Y,Brookline,6,THEFT FROM AUTO,3934 Theft from Vehicle,1918,4,5,-80.009363126255,40.3843156159277
-3218234753,22154153,6,2022-09-22T15:00:00,"100 Block Wynoka St Pittsburgh, PA 15210",Y,Carrick,3,THEFT FROM AUTO,3934 Theft from Vehicle,2902,4,3,-79.9891416126644,40.4053107051512
291752005,22154175,6,2022-09-22T16:20:00,"400 Block Natchez St Pittsburgh, PA 15211",N,Mount Washington,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1914,2,5,-80.0120889948641,40.4287073695018
292311086,22158225,6,2022-09-29T16:39:00,"2100 Block Park Hill Dr Pittsburgh, PA 15221",N,East Hills,5,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,1306,9,2,-79.8740675554629,40.4532044463424
292316238,22158287,5,2022-09-29T08:35:00,"500 Block N Euclid Ave Pittsburgh, PA 15206",N,East Liberty,5,BURGLARY,3502 Burglary.,1113,9,2,-79.9252877999661,40.4667464624736
292324272,22158341,27,2022-09-29T20:56:00,"Royal St & Bly St Pittsburgh, PA 15212",N,Spring Hill-City View,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2620,1,1,-79.998499669606,40.4675752127622
292330194,22158411,3,2022-09-30T00:01:00,"6th St & Fort Duquesne Blvd Pittsburgh, PA 15222",N,Central Business District,2,ROBBERY,3701 Robbery.,201,6,6,-80.0027644841299,40.4440702599106
292369861,22158671,0,2022-09-30T11:01:00,"100 Block Kathleen St Pittsburgh, PA 15211",N,Mount Washington,3,99,9994 PFA Service,1807,3,5,-80.0043452707438,40.4253645677376
294113831,22170210,6,2022-10-21T08:30:00,"S 17th St & Mary St Pittsburgh, PA 15203",N,South Side Flats,3,THEFT FROM AUTO,3934 Theft from Vehicle,1702,3,3,-79.982309932675,40.4261647750958
294136962,22170414,10,2022-10-21T16:14:00,"500 Block Junilla St Pittsburgh, PA 15219",Y,Middle Hill,2,HARRASSMENT,2709(a) Harassment.,501,6,3,-79.9707367991518,40.4463067662451
294188967,22170986,0,2022-10-22T15:45:00,"1600 Block Colwell St Pittsburgh, PA 15219",Y,Crawford-Roberts,2,99,780-113(a39) Prohibited Acts - Possession Of Substances For Methamphetamine Manufacture,305,6,3,-79.9837553408815,40.4390180249239
291761328,22154354,14,2022-09-22T16:00:00,"1500 Block Lowrie St Pittsburgh, PA 15212",N,Troy Hill,1,CRIM MISCHIEF,3304 Criminal Mischief.,2406,1,1,-79.9850564269765,40.4615845286472
291765413,22154396,0,2022-09-22T23:23:00,"200 Block S Aiken Ave Pittsburgh, PA 15224",N,Bloomfield,5,99,9997 Overdose Death,806,7,2,-79.9376087390645,40.4633274721189
291945071,22156217,6,2022-09-26T10:03:00,"200 Block S Mathilda St Pittsburgh, PA 15224",N,Bloomfield,5,THEFT,3921 Theft by Unlawful Taking or Disposition. / 7124 Fraudulent Use or Removal of Registration Plates,809,7,2,-79.9467948798275,40.4650322426879
291960243,22156245,6,2022-09-26T10:47:00,"6200 Block Broad St Pittsburgh, PA 15206",Y,East Liberty,5,THEFT,"3921(a) Theft by Unlawful Taking or Disposition - Movable item / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1115,9,2,-79.9220514004315,40.4616553224018
293266512,22165233,18,2022-10-12T06:03:00,"20 Block Julian Dr Penn Hills, PA 15235",Y,Outside City,OSC,STOLEN PROPERTY - OTHER,13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance,5599,,,-79.8433760496926,40.468718941958
293279110,22130412,5,2022-10-12T09:15:00,"1400 Block Bennett St Pittsburgh, PA 15208",Y,Homewood South,5,BURGLARY,3502 Burglary. / 3921 Theft by Unlawful Taking or Disposition. / 3304 Criminal Mischief.,1304,,,,
293281581,22140373,5,2022-10-12T09:15:00,"1400 Block Locust St Pittsburgh, PA 15219",Y,Homewood South,5,BURGLARY,3502 Burglary. / 2701 Simple Assault.,1304,6,3,-79.9854587006851,40.4360439740714
293287628,22165357,27,2022-10-12T11:16:00,"S 21st St & Sarah St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1609,3,3,-79.9763477687553,40.4275964722009
293288928,22165394,10,2022-10-12T12:38:00,"2200 Block Bedford Ave Pittsburgh, PA 15219",N,Bedford Dwellings,2,HARRASSMENT,2709(a) Harassment.,509,6,3,-79.9783201165693,40.4482327410463
293296251,22164674,6,2022-10-11T06:26:00,"River Ave & Warfield St Pittsburgh, PA 15212",N,North Shore,1,THEFT FROM AUTO,3934 Theft from Vehicle,2205,1,1,-79.9937413928008,40.4512082062325
293304759,22164852,0,2022-10-11T14:12:00,"Ohio River Blvd & Brighton Heights Blvd Pittsburgh, PA 15212",N,Brighton Heights,1,99,9999 9999 - (Misc. Incident): Accident w/ no injuries or tows,2701,1,1,-80.0438091381472,40.4796086767247
293323501,22165572,0,2022-10-12T17:42:00,"Shadeland Ave & Casement St Pittsburgh, PA 15212",N,Marshall-Shadeland,1,99,9999 9999 - (Misc. Incident): ,2715,1,1,-80.0305825495495,40.4706351812628
293324111,22165485,6,2022-10-12T15:29:00,"400 Block Smithfield St E Pittsburgh, PA 15222",N,Central Business District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,201,6,6,-79.9993229906853,40.4387869875112
291676386,22120996,23,2022-09-22T00:03:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Central Business District,2,PUBLIC DRUNKENESS,5505 Public Drunkenness / 2709(a)(4) Harassment Communicates Prohibited Acts,201,6,6,-79.9960409452176,40.4350395659105
-3537076368,22153881,10,2022-09-22T05:30:00,"700 Block MONTCLAIR St Pittsburgh, PA 15217",Y,Greenfield,4,HARRASSMENT,2709(a) Harassment.,1517,5,3,-79.9331418911494,40.4204269729162
291752121,22154150,10,2022-09-22T15:21:00,"700 Block Brownsville Rd Pittsburgh, PA 15210",Y,Knoxville,3,HARRASSMENT,2709(a) Harassment.,3001,3,5,-79.9906009292209,40.4098987771292
292919336,22162221,0,2022-10-06T18:10:00,"1800 Block Ringwalt St Pittsburgh, PA 15216",N,Beechview,6,99,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): 9999 - (Misc. Incident): ,1920,4,5,-80.0194868644652,40.4075476623773
292923240,22162415,0,2022-10-07T01:42:00,"400 Block Moore Ave Pittsburgh, PA 15210",N,Knoxville,3,99,9994 PFA Service,3001,3,5,-79.9951527857208,40.4120060395247
-3532036286,22162683,27,2022-10-07T15:03:00,"700 Block Wenzell Ave Pittsburgh, PA 15216",N,Beechview,6,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1920,2,5,-80.0335199324849,40.4050193913515
292981678,22132881,0,2022-10-07T21:04:00,"Cedar Ave & Virgin Way Pittsburgh, PA 15212",N,Allegheny Center,1,99,9999 9999 - (Misc. Incident): ,2204,1,1,-80.0015927720424,40.4529927399831
293017225,22163229,0,2022-10-08T11:00:00,"6600 Block Bower St Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,99,2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner,1203,,,,
293017397,22163231,10,2022-10-08T11:20:00,"6300 Block Railroad St Pittsburgh, PA 15201",N,Highland Park,5,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1106,,,,
293020428,22163280,6,2022-10-08T13:30:00,"4700 Block Liberty Ave Pittsburgh, PA 15224",N,Bloomfield,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,809,7,2,-79.9498576275047,40.4620780855382
293021644,22163155,0,2022-10-07T16:31:00,"500 Block Mellon St Pittsburgh, PA 15206",N,East Liberty,5,99,9994 PFA Service,1113,9,2,-79.9268051570833,40.4676858393577
293022276,22163333,26,2022-10-08T14:40:00,"5000 Block Somerville St Pittsburgh, PA 15201",Y,Stanton Heights,5,UNAUTHORIZED USE VEHICLE,3928 Unauthorized Use of Automobile and Other Vehicles.,1005,9,2,-79.9340944790942,40.4784953653901
293023894,22163264,99,2022-10-08T12:00:00,"North Shore Dr Pittsburgh, PA 15212",N,North Shore,1,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),2205,1,6,-79.9993618324063,40.4486383751305
291982631,22156575,6,2022-09-26T13:00:00,"100 Block Beltzhoover Ave Pittsburgh, PA 15211",N,Mount Washington,3,THEFT,3921 Theft by Unlawful Taking or Disposition.,1807,3,5,-79.9976784451397,40.4221741290321
292769203,22161416,0,2022-10-03T14:00:00,"5600 Block Stanton Ave Pittsburgh, PA 15206",N,Highland Park,5,99,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): ,1102,9,2,-79.9262526563548,40.4715111797246
292771030,22160892,6,2022-10-02T20:00:00,"1400 Block Washington Blvd Pittsburgh, PA 15206",N,Highland Park,5,THEFT FROM AUTO,3934 Theft from Vehicle,1106,9,2,-79.9086166765251,40.4703056329977
292772463,22161434,27,2022-10-05T10:38:00,"Forbes Ave & Bigelow Blvd Pittsburgh, PA 15213",N,North Oakland,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid,404,8,3,-79.9535481570265,40.4431831154911
292775782,22161433,99,2022-10-05T10:23:00,"7600 Block Bennett St Pittsburgh, PA 15221",N,Homewood South,5,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1304,9,2,-79.8903214783225,40.4548456612805
292780613,22161428,4,2022-10-05T08:40:00,"N Mathilda St & Parsley Way Pittsburgh, PA 15224",N,Bloomfield,5,AGG-ASSAULT,2702 Aggravated Assault.,804,7,2,-79.9476222627404,40.4595540901982
292782176,22161495,99,2022-10-05T13:25:00,"300 Block S 9th St Pittsburgh, PA 15203",N,South Side Flats,3,MENTAL 201/302,9498 302 (Mental),1702,3,3,-79.9898778029463,40.4302739266154
292795234,22161552,11,2022-10-04T00:01:00,"100 Block Fountain St Pittsburgh, PA 15212",N,Central North Side,1,IDENTITY THEFT,4120 Identity Theft,2206,1,1,-80.0019304117184,40.4587585954775
291853575,22155453,24,2022-09-24T17:08:00,"6900 Block President Way Pittsburgh, PA 15206",N,Morningside,5,DISORDERLY CONDUCT,5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,1014,7,2,-79.926176217228,40.4850613296568
291855593,22155459,20,2022-09-24T19:50:00,"2300 Block Spring St Pittsburgh, PA 15210",Y,Arlington,3,ENDANGER WELFARE OF CHILDREN,4304(a)(1) Endangering Welfare of Children.,1603,3,3,-79.9745913952801,40.4161357860116
292395325,22158131,6,2022-09-29T13:44:00,"1500 Block Spring Garden Ave Pittsburgh, PA 15212",Y,Spring Garden,1,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",2412,1,1,-79.9861346946878,40.464212339643
292430859,22159082,99,2022-10-01T03:15:00,"5700 Block Ollie St Pittsburgh, PA 15207",Y,Lincoln Place,4,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,3102,5,3,-79.9183288062307,40.3663605495766
292451945,22159165,99,2022-10-01T08:30:00,"100 Block Meridan St Pittsburgh, PA 15211",N,Mount Washington,3,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),1903,2,5,-80.0177369565804,40.4374889199462
292455813,22159203,14,2022-09-30T23:50:00,"2600 Block Centre Ave Pittsburgh, PA 15219",N,Terrace Village,2,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,510,6,3,-79.9683796165261,40.4465060729526
292455986,22159215,6,2022-09-24T20:00:00,"2600 Block Centre Ave Pittsburgh, PA 15219",N,Terrace Village,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,510,6,3,-79.9683796165261,40.4465060729526
292461771,22159275,6,2022-10-01T13:30:00,"100 Block Merrimac St Pittsburgh, PA 15211",N,Mount Washington,3,THEFT FROM AUTO,3934 Theft from Vehicle,1903,2,5,-80.012954270874,40.4353320863097
292463441,22159304,6,2022-10-01T06:00:00,"1700 Block Mary St Pittsburgh, PA 15203",N,South Side Flats,3,THEFT FROM AUTO,3934 Theft from Vehicle,1702,3,3,-79.9822094242741,40.4260516261813
293402790,22165933,6,2022-10-13T00:00:00,"5100 Block Butler St Pittsburgh, PA 15201",N,Upper Lawrenceville,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,1011,7,2,-79.9554368193965,40.4783732710048
293403710,22165981,6,2022-10-12T14:00:00,"6700 Block Reynolds St Pittsburgh, PA 15206",N,Point Breeze,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1404,8,3,-79.9149239760373,40.4519896579784
293405422,22165880,27,2022-10-13T10:51:00,"Butler St & Gallatin St Pittsburgh, PA 15201",N,Morningside,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1014,7,2,-79.9215545028816,40.4881885590204
293409849,22165465,27,2022-10-12T14:30:00,"200 Block Robinson St Pittsburgh, PA 15213",N,West Oakland,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,402,6,3,-79.9653371230003,40.4404876880004
293422657,22166153,99,2022-09-29T12:00:00,"700 Block Allegheny Brg Pittsburgh, PA 15233",N,Chateau,1,LOST PROPERTY,9504 Lost Property,2108,1,1,-80.0183109568803,40.4497148842455
293435272,22166281,14,2022-10-14T00:46:00,"2500 Block Chauncey Dr Pittsburgh, PA 15219",N,Bedford Dwellings,2,CRIM MISCHIEF,3304 Criminal Mischief. / 5503 Disorderly Conduct.,509,6,3,-79.9738397090324,40.4509833047534
291779606,22154545,99,2022-09-22T20:00:00,"1300 Block Centre Ave Pittsburgh, PA 15219",N,Central Business District,2,LOST PROPERTY,9504 Lost Property,201,6,6,-79.988493436284,40.4399475882372
291860524,22155589,17,2022-09-24T22:15:00,Zone 5,N,,5,SEXUAL ASSAULT,3124.1 Sexual Assault,,,,,
291861361,22155641,27,2022-09-25T02:55:00,"700 Block Hazelwood Ave Pittsburgh, PA 15217",N,Greenfield,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1517,5,3,-79.9330729845972,40.4197989425339
291861584,22155649,0,2022-09-25T03:00:00,"300 Block S Main St Pittsburgh, PA 15220",N,West End,6,99,9994 PFA Service,2019,7,2,-79.9579476679689,40.4673830136992
